mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,9.34147834777832,4.175901412963867,1.771688461303711
mig,0.6,18.416404724121094,4.166007041931152,1.7728805541992188
mps-uncap,0.7,9.291529655456543,4.224538803100586,1.8227100372314453
mig,0.7,18.3870792388916,4.110574722290039,1.7580986022949219
mps-uncap,0.8,9.319901466369629,4.170894622802734,1.7910003662109375
mig,0.8,18.381476402282715,4.119634628295898,1.7685890197753906
mps-uncap,0.9,9.373307228088379,4.174709320068359,1.8086433410644531
mig,0.9,18.37754249572754,4.091024398803711,1.7483234405517578
mps-uncap,1.0,9.349584579467773,4.124641418457031,1.779794692993164
mig,1.0,18.37778091430664,4.107236862182617,1.7566680908203125
mps-uncap,1.1,9.435653686523438,4.227161407470703,1.8143653869628906
mig,1.1,18.37778091430664,4.124164581298828,1.7781257629394531
mps-uncap,1.2,9.413361549377441,4.237174987792969,1.8258094787597656
mig,1.2,18.375873565673828,4.104375839233398,1.795053482055664
mps-uncap,1.3,9.496688842773438,5.291104316711426,1.837015151977539
mig,1.3,18.375039100646973,4.051923751831055,1.7819404602050781
