mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,10.650277137756348,9.523630142211914,8.526086807250977
mig,0.6,26.89838409423828,5.97691535949707,2.5992393493652344
mps-uncap,0.7,10.69796085357666,23.04363250732422,20.197391510009766
mig,0.7,31.60548210144043,7.152318954467773,3.056645393371582
mps-uncap,0.8,10.900735855102539,816.8368339538574,6363.8094663619995
mig,0.8,46.795010566711426,9.43911075592041,4.186391830444336
mps-uncap,0.9,11.062860488891602,7609.663009643555,11219.701290130615
mig,0.9,75.08683204650879,14.91856575012207,6.594657897949219
mps-uncap,1.0,11.29603385925293,10366.065502166748,15940.205812454224
mig,1.0,703.9957046508789,503.53050231933594,143.57304573059082
mps-uncap,1.1,12.401103973388672,17379.81915473938,19983.169555664062
mig,1.1,4753.333926200867,3884.218692779541,3657.424211502075
mps-uncap,1.2,13.171076774597168,20491.642475128174,23513.848066329956
mig,1.2,8518.551468849182,7346.1267948150635,7293.215036392212
mps-uncap,1.3,16.129732131958008,23970.775485038757,26774.20663833618
mig,1.3,10385.640501976013,10206.458806991577,9412.761092185974
