mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,8.554458618164068,19.914817810058626,28.879189491271973
mig,0.6,40.46487808227539,8.86220932006836,3.958272933959961
mps-uncap,0.7,9.025692939758304,57.16454982757568,56.5384864807129
mig,0.7,55.62524795532229,12.911558151245117,5.50079345703125
mps-uncap,0.8,10.454368591308596,1064.7857189178467,11205.851674079895
mig,0.8,101.29909515380858,20.441436767578125,9.09419059753418
mps-uncap,0.9,11.509704589843752,13229.39820289612,19834.818482398987
mig,0.9,244.39356327056876,38.772034645080566,18.68748664855957
mps-uncap,1.0,13.073301315307624,20217.020654678345,29837.368869781494
mig,1.0,1647.655725479126,900.0395774841313,340.09814262390137
mps-uncap,1.1,17.57044792175293,31339.798164367676,35636.58061027527
mig,1.1,8072.331094741821,7289.977264404298,6778.475880622864
mps-uncap,1.2,20.580101013183597,36512.6784324646,41904.35109138489
mig,1.2,14378.480958938599,13178.445816040039,13314.074277877808
mps-uncap,1.3,30.09090423583985,42685.784459114075,47503.280448913574
mig,1.3,19394.413113594055,18563.474369049076,17589.122748374943
