mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,8.721351623535156,4.040002822875977,1.714468002319336
mig,0.6,18.070459365844727,4.0493011474609375,1.7137527465820312
mps-uncap,0.7,8.768796920776367,4.117012023925781,1.764535903930664
mig,0.7,18.076658248901367,4.021883010864258,1.7077922821044922
mps-uncap,0.8,8.848428726196289,4.103899002075195,1.7707347869873047
mig,0.8,18.11838150024414,4.044532775878906,1.7261505126953125
mps-uncap,0.9,8.879899978637695,4.190921783447266,1.7673969268798828
mig,0.9,18.106460571289062,4.0130615234375,1.7049312591552734
mps-uncap,1.0,9.001016616821289,9.319305419921875,2.1848678588867188
mig,1.0,18.23735237121582,4.077911376953125,1.7344951629638672
mps-uncap,1.1,9.00721549987793,4.446268081665039,1.8641948699951172
mig,1.1,18.282651901245117,4.178762435913086,1.779794692993164
mps-uncap,1.2,8.894681930541992,7.912635803222656,4.677772521972656
mig,1.2,18.381118774414062,4.209041595458984,1.7933845520019531
mps-uncap,1.3,8.978128433227539,4.1751861572265625,1.7993450164794922
mig,1.3,18.335819244384766,4.045248031616211,1.7559528350830078
