mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,11.460089683532717,8.980655670166017,4.413080215454106
mig,0.6,20.293712615966797,4.487061500549316,2.001047134399414
mps-uncap,0.7,11.425375938415527,9.451627731323242,4.767465591430664
mig,0.7,20.206618309020996,4.340648651123047,1.9503355026245115
mps-uncap,0.8,11.398530006408691,9.127378463745117,5.911850929260259
mig,0.8,20.176029205322266,4.3201446533203125,1.9369125366210938
mps-uncap,0.9,11.305785179138184,9.59434509277344,5.934000015258789
mig,0.9,20.034170150756836,4.2667627334594735,1.8908977508544922
mps-uncap,1.0,10.837125778198246,9.256219863891602,7.4891090393066415
mig,1.0,19.881010055541992,4.245996475219727,1.8563270568847656
mps-uncap,1.1,10.435247421264656,9.729242324829102,6.986474990844727
mig,1.1,19.857287406921387,4.249811172485352,1.8677711486816406
mps-uncap,1.2,10.018420219421387,9.747886657714846,7.151174545288086
mig,1.2,19.809579849243168,4.212856292724609,1.878976821899414
mps-uncap,1.3,9.8996639251709,9.823203086853027,7.500648498535155
mig,1.3,19.95849609375,4.170894622802734,1.8796920776367188
