mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,20.323224067688052,44.787836074829094,66.90454483032227
mig,0.6,87.09216117858887,19.16361570358274,9.306097030639641
mps-uncap,0.7,20.247385501861572,98.97259473800655,114.22673225402829
mig,0.7,111.68959140777584,30.614681243896403,10.542948246002197
mps-uncap,0.8,24.189193248748772,1245.262289047242,12167.50926733017
mig,0.8,215.398600101471,38.74942064285294,17.765026092529308
mps-uncap,0.9,25.35487174987794,14877.519187927244,21898.53125810623
mig,0.9,482.807559967041,65.33277511596677,37.50100135803219
mps-uncap,1.0,28.32635879516602,22272.050261497498,32835.53318977356
mig,1.0,2002.1659135818486,1104.5754432678223,415.0626802444457
mps-uncap,1.1,38.211269378662095,34424.240798950195,39315.72584152222
mig,1.1,8314.02090072632,7706.879587173463,7485.803723335266
mps-uncap,1.2,44.206941127777114,40048.90332221985,45949.90701675414
mig,1.2,15610.727565288544,14431.504797935486,14637.802410125732
mps-uncap,1.3,68.0873775482178,46958.777368068695,52613.4140586853
mig,1.3,20782.207095623016,20567.031221389774,19478.10337543487
