mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,18.21269989013672,25.216531753540064,31.58905506134034
mig,0.6,59.51118469238281,13.013887405395508,5.764055252075196
mps-uncap,0.7,18.824148178100586,62.470388412475586,59.02104377746583
mig,0.7,74.60703849792485,17.02461242675781,7.283687591552734
mps-uncap,0.8,20.135188102722168,1070.284128189087,11207.92350769043
mig,0.8,120.07324695587157,24.57695007324219,10.884809494018558
mps-uncap,0.9,21.157550811767585,13234.809732437134,19837.63539791107
mig,0.9,262.764811515808,42.8722381591797,20.464658737182617
mps-uncap,1.0,22.569751739501957,20221.5500831604,29839.153480529785
mig,1.0,1666.0408973693848,904.1649341583255,341.88904762268066
mps-uncap,1.1,27.20351219177246,31343.908500671387,35638.380098342896
mig,1.1,8090.921306610107,7294.0518379211435,6780.282616615295
mps-uncap,1.2,30.207633972167976,36518.08371543884,41906.95924758911
mig,1.2,14396.72462940216,13182.501792907715,13315.847873687744
mps-uncap,1.3,39.7855281829834,42689.83280658722,47505.1438331604
mig,1.3,19412.809371948242,18567.479944229126,17590.910530090336
