mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,30.099403858184857,50.40906906127929,69.39666271209713
mig,0.6,106.36782646179199,23.245260715484605,11.10693931579588
mps-uncap,0.7,29.401905536651608,105.4087305068969,116.61459445953369
mig,0.7,130.32625198364255,34.80735778808592,12.348721027374273
mps-uncap,0.8,33.54633808135985,1250.4133224487307,12169.810547828674
mig,0.8,233.96953105926522,42.80719995498666,19.54082489013672
mps-uncap,0.9,35.64838409423829,14882.253332138062,21900.849878787994
mig,0.9,502.2964930534363,69.43193912506102,39.284849166870096
mps-uncap,1.0,37.984576225280776,22276.581330299377,32837.4621963501
mig,1.0,2020.4391479492192,1108.6341857910156,416.8129682540893
mps-uncap,1.1,47.81153678894042,34432.8489780426,39317.57424354554
mig,1.1,8332.412579059603,7711.046781539917,7487.593829631805
mps-uncap,1.2,53.613350391387975,40053.067269325256,45956.27855300902
mig,1.2,15629.632246494293,14435.670566558838,14639.578580856323
mps-uncap,1.3,77.76710987091073,46965.27624130249,52616.061878204346
mig,1.3,20800.59188604355,20571.101074218757,19479.87143039703
