mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,0.012636184692382812,0.011682510375976562,0.010728836059570312
mig,0.6,0.013113021850585938,0.011444091796875,0.010728836059570312
mps-uncap,0.7,0.012636184692382812,0.012159347534179688,0.011920928955078125
mig,0.7,0.013113021850585938,0.013589859008789062,0.010967254638671875
mps-uncap,0.8,0.012874603271484375,0.015020370483398438,0.013828277587890625
mig,0.8,0.0133514404296875,0.011444091796875,0.010967254638671875
mps-uncap,0.9,0.012874603271484375,0.015020370483398438,0.013113021850585938
mig,0.9,0.013113021850585938,0.010967254638671875,0.010728836059570312
mps-uncap,1.0,0.012874603271484375,0.018596649169921875,0.013828277587890625
mig,1.0,0.014066696166992188,0.014543533325195312,0.013113021850585938
mps-uncap,1.1,0.011920928955078125,0.014543533325195312,0.014781951904296875
mig,1.1,0.01811981201171875,0.014543533325195312,0.014066696166992188
mps-uncap,1.2,0.0133514404296875,0.024080276489257812,0.013113021850585938
mig,1.2,0.017404556274414062,0.015497207641601562,0.0133514404296875
mps-uncap,1.3,0.011444091796875,0.015735626220703125,0.014066696166992188
mig,1.3,0.017642974853515625,0.01430511474609375,0.013589859008789062
