mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,52.56390571594238,94.53439712524414,99.12705421447754
mig,0.6,134.904146194458,35.98141670227051,22.826671600341797
mps-uncap,0.7,37.229299545288086,126.92999839782715,146.71063423156738
mig,0.7,184.16976928710938,55.99784851074219,22.800445556640625
mps-uncap,0.8,44.365882873535156,1409.1062545776367,12265.767097473145
mig,0.8,282.1006774902344,61.65337562561035,30.539751052856445
mps-uncap,0.9,40.88449478149414,15005.627870559692,22211.819410324097
mig,0.9,610.7590198516846,87.00323104858398,58.37202072143555
mps-uncap,1.0,51.6660213470459,22514.599323272705,33195.98889350891
mig,1.0,2096.6217517852783,1173.0797290802002,458.63938331604004
mps-uncap,1.1,63.556671142578125,34868.624210357666,39831.2931060791
mig,1.1,8401.874780654907,7764.695167541504,7582.296848297119
mps-uncap,1.2,71.71487808227539,40399.86443519592,46373.19374084473
mig,1.2,15725.350379943848,14553.547859191895,14792.087078094482
mps-uncap,1.3,123.39520454406738,47401.809215545654,53061.22016906738
mig,1.3,20931.33497238159,20780.078649520874,19647.43185043335
