mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,519.968891439386,583.3952287304907,685.3811311362879
mig,0.6,508.5491682680784,581.5303035589266,666.9417927352683
mps-uncap,0.7,585.6240389552056,683.06318505532,776.8695856602554
mig,0.7,578.4675860259907,669.0208678628526,777.0756272312084
mps-uncap,0.8,668.0977923463705,759.6433050287599,779.4664172077343
mig,0.8,689.4452819151045,767.5407130894257,892.9291195553159
mps-uncap,0.9,751.076607087649,715.4536789401999,767.3183061619004
mig,0.9,775.9900096899215,859.3828854536772,999.8964871834232
mps-uncap,1.0,849.7455681610923,715.7829014497376,702.3032663190711
mig,1.0,848.5607965878329,965.7714638994576,1116.844858422089
mps-uncap,1.1,942.5004315019219,653.6101310473558,685.7909353551265
mig,1.1,857.0083445351626,962.3550555505584,1106.5857110585675
mps-uncap,1.2,1012.7260442672382,633.5364850827373,653.9008062573929
mig,1.2,856.8915328801079,968.5995605674406,1097.6475387940004
mps-uncap,1.3,1135.178038846688,593.8597405963741,596.935684110872
mig,1.3,852.6983515792869,980.6000940905784,1104.2137937559564
