mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,8.708477020263672,4.002094268798828,1.6834735870361328
mig,0.6,18.025636672973633,4.011392593383789,1.6856193542480469
mps-uncap,0.7,8.749723434448242,4.0721893310546875,1.7359256744384766
mig,0.7,18.027544021606445,3.9794445037841797,1.6820430755615234
mps-uncap,0.8,8.834600448608398,4.027843475341797,1.7061233520507812
mig,0.8,18.030405044555664,4.00543212890625,1.6968250274658203
mps-uncap,0.9,8.862495422363281,4.013776779174805,1.7151832580566406
mig,0.9,18.040180206298828,3.9780139923095703,1.6758441925048828
mps-uncap,1.0,8.894205093383789,3.9653778076171875,1.68609619140625
mig,1.0,18.030405044555664,3.992795944213867,1.6908645629882812
mps-uncap,1.1,8.987188339233398,4.029989242553711,1.7049312591552734
mig,1.1,18.033981323242188,4.023551940917969,1.7099380493164062
mps-uncap,1.2,8.876323699951172,4.02379035949707,1.71661376953125
mig,1.2,18.031835556030273,4.0073394775390625,1.7230510711669922
mps-uncap,1.3,8.962154388427734,3.9949417114257812,1.705169677734375
mig,1.3,18.024444580078125,3.9386749267578125,1.6961097717285156
