mode,load,0_efficientnet_b6-32,1_efficientnet_b6-32
mig,0.1,0.012874603271484375,0.012874603271484375
mig,0.2,0.013113021850585938,0.012874603271484375
mig,0.3,0.01239776611328125,0.01239776611328125
mig,0.4,0.012874603271484375,0.012874603271484375
mig,0.5,0.011920928955078125,0.013113021850585938
mig,0.6,0.013113021850585938,0.012636184692382812
mig,0.7,0.013113021850585938,0.013828277587890625
mig,0.8,0.012874603271484375,0.012874603271484375
mig,0.9,0.015497207641601562,0.015497207641601562
mig,1.0,0.029802322387695312,0.0209808349609375
