mode,load,0_efficientnet_b6-32,1_efficientnet_b6-32
mig,0.1,47.829516590924165,52.117860752323274
mig,0.2,86.47779654830025,102.97896882091449
mig,0.3,124.22501599719209,146.9509016072764
mig,0.4,182.99602787577567,185.65073893933896
mig,0.5,241.12568955668658,225.52758675014417
mig,0.6,278.4882559652435,303.0059733185907
mig,0.7,328.339581042448,317.4229687781299
mig,0.8,360.9174102624219,379.88086073658036
mig,0.9,448.0655405927812,373.39457202387257
mig,1.0,448.34525681231116,381.7265736213209
