mode,load,0_alexnet-8,1_resnet152-32,2_squeezenet1_0-2
mps-uncap,0.8,1.9063949584960938,33.16926956176758,3.118276596069336
mps-uncap,0.9,2.0536184310913086,34.546852111816406,3.3501386642456055
mps-uncap,1.0,2.0530223846435547,37.08195686340332,3.8156509399414062
mps-uncap,0.5,1.2929439544677734,29.302597045898438,2.4831295013427734
mps-uncap,0.6,1.2731552124023438,30.042171478271484,2.5472640991210938
mps-uncap,0.7,1.7933845520019531,31.380891799926758,2.6099681854248047
mps-uncap,0.1,1.3443231582641602,25.54488182067871,2.5653839111328125
mps-uncap,0.2,1.2722015380859375,26.200294494628906,2.4585723876953125
mps-uncap,0.3,1.2576580047607422,26.949524879455566,2.4862289428710938
mps-uncap,0.4,1.3039112091064453,28.054475784301758,2.4514198303222656
