mode,load,0_densenet169-4,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.8,181.92785362089734,1690.5390324804298,2315.04283149205
mps-uncap,0.9,204.00508701715975,1910.0637750140029,2595.6652451441023
mps-uncap,1.0,224.60728237607333,2105.6438811595235,2946.2636013182587
mps-uncap,0.5,111.07328736026172,1083.6582260620053,1482.1509591323784
mps-uncap,0.6,136.5335343659575,1259.9425170045035,1753.4946398029992
mps-uncap,0.7,159.32052771599595,1530.0272523220303,2031.896321433011
mps-uncap,0.1,20.496117319279534,220.62492319420326,300.1959479036568
mps-uncap,0.2,44.67938632163257,421.91195764046165,581.7947086851104
mps-uncap,0.3,64.9604133594562,634.9331280200249,875.6212144788509
mps-uncap,0.4,92.61531742675977,858.0615880518084,1162.2168417645084
