mode,load,0_densenet169-4,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.8,49.15097236633301,17.206683158874505,14.936351776123097
mps-uncap,0.9,178.7321877479555,28.85914802551269,36.4131736755371
mps-uncap,1.0,404.53085422515875,105.85165023803705,110.58911323547366
mps-uncap,0.5,30.899448394775362,12.600760459899906,6.916351318359345
mps-uncap,0.6,32.578201293945284,12.56503105163574,8.029341697692871
mps-uncap,0.7,51.89140796661369,13.189840316772461,10.302236080169687
mps-uncap,0.1,19.11020278930664,5.9479284286499,2.5384712219238263
mps-uncap,0.2,23.828258514404286,11.026067733764636,3.4780979156494256
mps-uncap,0.3,21.55243158340454,14.943323135375966,4.982233047485352
mps-uncap,0.4,30.419423580169685,13.819384574890146,5.612516403198235
