mode,load,0_densenet169-4,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.8,9.952068328857422,2.187490463256836,1.771688461303711
mps-uncap,0.9,9.871482849121094,2.279043197631836,1.767873764038086
mps-uncap,1.0,10.445117950439453,2.3093223571777344,1.779317855834961
mps-uncap,0.5,9.867668151855469,2.20489501953125,1.7740726470947266
mps-uncap,0.6,9.824275970458984,2.235889434814453,1.783132553100586
mps-uncap,0.7,9.803295135498047,2.223491668701172,1.781463623046875
mps-uncap,0.1,9.927034378051758,2.299070358276367,1.7809867858886719
mps-uncap,0.2,9.692668914794922,2.2351741790771484,1.7762184143066406
mps-uncap,0.3,9.757280349731445,2.2852420806884766,1.77764892578125
mps-uncap,0.4,9.940385818481445,2.222776412963867,1.7740726470947266
