mode,load,0_densenet169-4,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.8,16.335811614990234,4.019737243652344,3.183238506317139
mps-uncap,0.9,17.944109439849854,3.7686824798583984,3.217654228210449
mps-uncap,1.0,18.238468170166016,4.222226142883301,3.1329679489135747
mps-uncap,0.5,18.529787063598633,5.536689758300781,3.072030544281004
mps-uncap,0.6,18.08159828186035,5.358581542968749,3.01516056060791
mps-uncap,0.7,17.554764747619622,4.239320755004883,3.039875030517579
mps-uncap,0.1,26.842010021209717,6.675245761871338,3.0934333801269522
mps-uncap,0.2,25.82125663757324,6.589136123657226,3.0226993560791016
mps-uncap,0.3,26.395881175994873,6.632866859436034,3.076314926147461
mps-uncap,0.4,23.674561977386475,6.356241703033448,3.0262374877929688
