mode,load,0_densenet169-4,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.8,9.84954833984375,2.1467208862304688,1.7580986022949219
mps-uncap,0.9,9.776592254638672,2.2420883178710938,1.7566680908203125
mps-uncap,1.0,9.778261184692383,2.2492408752441406,1.7611980438232422
mps-uncap,0.5,9.684324264526367,2.1746158599853516,1.758575439453125
mps-uncap,0.6,9.731054306030273,2.1982192993164062,1.7695426940917969
mps-uncap,0.7,9.70602035522461,2.1915435791015625,1.7681121826171875
mps-uncap,0.1,9.91201400756836,2.2673606872558594,1.7638206481933594
mps-uncap,0.2,9.680509567260742,2.2020339965820312,1.7654895782470703
mps-uncap,0.3,9.677410125732422,2.244234085083008,1.7619132995605469
mps-uncap,0.4,9.814977645874023,2.1696090698242188,1.7571449279785156
