mode,load,0_densenet169-4,1_mobilenet_v2-8,2_squeezenet1_0-8
mps-uncap,0.8,3.4027099609375,1.5736818313598633,1.621842384338379
mps-uncap,0.9,13.627767562866211,2.7549266815185547,3.835916519165039
mps-uncap,1.0,101.53031349182129,21.593928337097168,19.03557777404785
mps-uncap,0.5,0.048160552978515625,0.3311634063720703,0.04124641418457031
mps-uncap,0.6,0.04744529724121094,0.4153251647949219,0.10371208190917969
mps-uncap,0.7,0.18739700317382812,0.9076595306396484,0.7570981979370117
mps-uncap,0.1,0.05888938903808594,0.04887580871582031,0.047206878662109375
mps-uncap,0.2,0.057220458984375,0.04863739013671875,0.04458427429199219
mps-uncap,0.3,0.053763389587402344,0.04887580871582031,0.04553794860839844
mps-uncap,0.4,0.04839897155761719,0.04696846008300781,0.045299530029296875
