mode,load,0_resnet152-4,1_resnet18-32,2_squeezenet1_0-16
mps-uncap,0.8,213.32836151123047,130.9964656829834,276.66497230529785
mps-uncap,0.9,406.69751167297363,911.9150638580322,4465.6617641448975
mps-uncap,1.0,940.4747486114502,9041.609048843384,3867.9122924804688
mps-uncap,0.5,45.20392417907715,34.4545841217041,36.74626350402832
mps-uncap,0.6,79.14519309997559,56.365966796875,28.369903564453125
mps-uncap,0.7,118.51716041564941,66.12753868103027,87.62621879577637
mps-uncap,0.1,27.88853645324707,19.103288650512695,11.76142692565918
mps-uncap,0.2,34.19971466064453,18.374919891357422,15.01154899597168
mps-uncap,0.3,36.52143478393555,31.397581100463867,15.460968017578125
mps-uncap,0.4,36.298274993896484,22.34339714050293,21.141529083251953
