mode,load,0_densenet169-16,1_mobilenet_v3_small-4,2_vgg19-4
mps-uncap,0.8,465.33832856856003,784.6888340134518,584.6129390063855
mps-uncap,0.9,527.0838107284043,896.5382746995912,666.8025869728942
mps-uncap,1.0,603.2261760808085,930.6877054016475,742.4589934869044
mps-uncap,0.5,290.26522093978235,499.0541465181232,370.4131435686785
mps-uncap,0.6,356.3020591747545,585.5566029975886,443.68329127617505
mps-uncap,0.7,428.35361566929197,678.5886628053692,515.0828495209248
mps-uncap,0.1,62.03428444034091,96.58675229508871,74.3784019333332
mps-uncap,0.2,115.73002768599115,196.62814771294174,145.0280213505816
mps-uncap,0.3,181.65912656296058,295.8910314725028,216.48826867445948
mps-uncap,0.4,222.28368940066784,394.05429245484777,289.5794282688234
