mode,load,0_densenet169-16,1_mobilenet_v3_small-4,2_vgg19-4
mps-uncap,0.8,12.253522872924805,2.2940635681152344,3.2973289489746094
mps-uncap,0.9,12.331724166870117,2.2945404052734375,3.3037662506103516
mps-uncap,1.0,12.359142303466797,2.313375473022461,3.3745765686035156
mps-uncap,0.5,12.259244918823242,2.3043155670166016,3.273487091064453
mps-uncap,0.6,12.239694595336914,2.2661685943603516,3.2777786254882812
mps-uncap,0.7,12.281656265258789,2.221822738647461,3.280162811279297
mps-uncap,0.1,12.197494506835938,2.298116683959961,3.305673599243164
mps-uncap,0.2,12.196063995361328,2.386331558227539,3.3080577850341797
mps-uncap,0.3,12.31527328491211,2.2983551025390625,3.3054351806640625
mps-uncap,0.4,12.170553207397461,2.2864341735839844,3.3044815063476562
