mode,load,0_densenet169-16,1_mobilenet_v3_small-4,2_vgg19-4
mps-uncap,0.8,21.138310432434082,3.103494644165039,4.51350212097168
mps-uncap,0.9,24.941444396972656,3.329038619995117,4.7626495361328125
mps-uncap,1.0,25.496959686279297,4.067182540893555,5.105733871459961
mps-uncap,0.5,16.77548885345459,3.981351852416992,3.679513931274414
mps-uncap,0.6,17.366886138916016,3.5784244537353516,3.7348270416259766
mps-uncap,0.7,18.592357635498047,3.157377243041992,4.063129425048828
mps-uncap,0.1,23.648738861083984,5.669951438903809,3.4641027450561523
mps-uncap,0.2,18.931150436401367,5.796551704406738,3.4825801849365234
mps-uncap,0.3,17.697572708129883,5.498170852661133,3.525853157043457
mps-uncap,0.4,17.698049545288086,4.49061393737793,3.5719871520996094
