mode,load,0_densenet121-2,1_resnet101-8,2_squeezenet1_0-16
mps-uncap,0.8,7.071256637573242,6.288051605224609,2.9439926147460938
mps-uncap,0.9,6.952047348022461,6.284952163696289,2.9582977294921875
mps-uncap,1.0,6.943225860595703,6.483554840087891,2.971649169921875
mps-uncap,0.5,6.788969039916992,6.290674209594727,2.956867218017578
mps-uncap,0.6,6.986141204833984,6.2694549560546875,2.9456615447998047
mps-uncap,0.7,7.005453109741211,6.254673004150391,2.9418468475341797
mps-uncap,0.1,7.030248641967773,6.292104721069336,2.9528141021728516
mps-uncap,0.2,6.921529769897461,6.288766860961914,2.9616355895996094
mps-uncap,0.3,7.020711898803711,6.281852722167969,2.9458999633789062
mps-uncap,0.4,6.951093673706055,6.274223327636719,2.959728240966797
