mode,load,0_densenet121-2,1_resnet101-8,2_squeezenet1_0-16
mps-uncap,0.8,83.53900909423828,130.39684295654297,50.03976821899414
mps-uncap,0.9,153.66458892822266,251.56569480895996,72.97849655151367
mps-uncap,1.0,227.51784324645996,1855.0431728363037,246.06561660766602
mps-uncap,0.5,46.18668556213379,56.090593338012695,22.698402404785156
mps-uncap,0.6,59.13043022155762,71.6557502746582,28.445720672607422
mps-uncap,0.7,91.04514122009277,86.7156982421875,37.75739669799805
mps-uncap,0.1,39.1387939453125,24.142026901245117,11.012077331542969
mps-uncap,0.2,43.93362998962402,38.97500038146973,11.267900466918945
mps-uncap,0.3,48.5227108001709,35.7975959777832,17.180204391479492
mps-uncap,0.4,46.488285064697266,53.02286148071289,16.404151916503906
