mode,load,0_alexnet-32,1_alexnet-32
mig,0.1,1048.9257626091248,1063.3546178667273
mig,0.2,2149.537084273246,2150.0874007186567
mig,0.3,3251.6958976287838,3163.03893841052
mig,0.4,4274.489931403328,4307.187385816472
mig,0.5,5388.6036648721365,5328.181344751766
mig,0.6,6566.947248830414,6484.32994358474
mig,0.7,7438.652590897517,6483.749896506503
mig,0.8,7936.9721437558865,6505.112549135751
mig,0.9,7862.951871120464,6451.647303421164
mig,1.0,8020.173458221189,6568.9984583428895
