mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,2.937436103820801,2.7778148651123047,0.6421804428100586
mps-uncap,0.9,8.483529090881348,19.804716110229492,1.241445541381836
mps-uncap,1.0,14.675617218017578,1793.3709621429443,7.502079010009766
mps-uncap,0.5,0.3819465637207031,0.3218650817871094,0.2529621124267578
mps-uncap,0.6,0.7261037826538086,0.946044921875,0.31626224517822266
mps-uncap,0.7,1.4500617980957031,1.7161369323730469,0.34236907958984375
mps-uncap,0.1,0.05078315734863281,0.05054473876953125,0.044345855712890625
mps-uncap,0.2,0.04863739013671875,0.04982948303222656,0.045299530029296875
mps-uncap,0.3,0.04935264587402344,0.04744529724121094,0.04553794860839844
mps-uncap,0.4,0.04482269287109375,0.046253204345703125,0.045299530029296875
