mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,4.2712092399597195,3.9526033401489253,2.5458335876464844
mps-uncap,0.9,4.1446733474731445,4.149670600891113,2.6297903060913086
mps-uncap,1.0,3.9174556732177734,4.007549285888672,2.563953399658203
mps-uncap,0.5,6.6100811958313,6.014060974121091,2.6443076133728027
mps-uncap,0.6,5.711925029754641,4.952588081359862,2.5327086448669442
mps-uncap,0.7,4.700744152069092,4.318857192993163,2.478883266448974
mps-uncap,0.1,8.262109756469723,8.283243179321289,2.9442429542541504
mps-uncap,0.2,8.06939125061035,8.140413761138912,2.9197096824645996
mps-uncap,0.3,8.034634590148926,8.023324012756346,2.9228997230529785
mps-uncap,0.4,7.686581611633301,6.882176399230958,2.8663253784179683
