mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,2.813577651977539,2.791166305541992,0.9531974792480469
mps-uncap,0.9,2.825498580932617,2.8486251831054688,0.9911060333251953
mps-uncap,1.0,3.0698776245117188,2.928495407104492,0.9810924530029297
mps-uncap,0.5,2.819061279296875,2.8574466705322266,0.9675025939941406
mps-uncap,0.6,2.844095230102539,2.8159618377685547,0.9660720825195312
mps-uncap,0.7,2.816438674926758,2.7790069580078125,0.9851455688476562
mps-uncap,0.1,2.826213836669922,2.901315689086914,0.9636878967285156
mps-uncap,0.2,2.8438568115234375,2.858400344848633,0.9658336639404297
mps-uncap,0.3,2.840280532836914,2.8634071350097656,0.9748935699462891
mps-uncap,0.4,2.8467178344726562,2.81524658203125,0.9679794311523438
