mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,51.757097244262695,40.73905944824219,18.820762634277344
mps-uncap,0.9,73.21953773498535,144.64926719665527,18.840789794921875
mps-uncap,1.0,156.36277198791504,3576.847791671753,65.40179252624512
mps-uncap,0.5,27.33755111694336,22.092342376708984,13.719797134399414
mps-uncap,0.6,27.81987190246582,23.98967742919922,11.51585578918457
mps-uncap,0.7,31.188011169433594,32.76491165161133,11.847734451293945
mps-uncap,0.1,17.70329475402832,23.653745651245117,5.194425582885742
mps-uncap,0.2,22.530078887939453,23.925065994262695,8.65793228149414
mps-uncap,0.3,24.080753326416016,27.761220932006836,12.29715347290039
mps-uncap,0.4,29.06060218811035,27.5726318359375,10.466575622558594
