mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,3151.3053972391453,1834.2772064785497,794.3481492021918
mps-uncap,0.9,3575.4875331614835,2085.9832444388494,917.1512584691966
mps-uncap,1.0,3882.270073009209,2175.8388490277503,1012.0530806267966
mps-uncap,0.5,1930.5347526155513,1175.9298146095075,502.01209011133585
mps-uncap,0.6,2319.160078130992,1392.332227102581,599.5701748623793
mps-uncap,0.7,2770.178211359266,1642.3705470645332,710.6699319712142
mps-uncap,0.1,384.07641923831,227.39799375970708,101.97334243155102
mps-uncap,0.2,777.5114962946311,455.14904145301824,205.12058810805374
mps-uncap,0.3,1169.6622023286848,700.8260550633332,304.63717837340386
mps-uncap,0.4,1529.0064007131568,930.0080048115947,398.32610576763034
