mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,5.898714065551758,6.250619888305664,2.726316452026367
mps-uncap,0.9,5.839347839355469,5.502939224243164,3.634929656982422
mps-uncap,1.0,5.05828857421875,5.328178405761719,2.9268264770507812
mps-uncap,0.5,7.075071334838867,7.722616195678711,3.4537315368652344
mps-uncap,0.6,6.648063659667969,6.366491317749023,2.9790401458740234
mps-uncap,0.7,6.305456161499023,5.363702774047852,2.719402313232422
mps-uncap,0.1,9.189367294311523,9.089231491088867,3.239870071411133
mps-uncap,0.2,9.749412536621094,8.68988037109375,4.521846771240234
mps-uncap,0.3,8.723735809326172,9.279251098632812,3.342151641845703
mps-uncap,0.4,8.301019668579102,8.815288543701172,4.183292388916016
