mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,55.05061149597168,43.79677772521973,20.05934715270996
mps-uncap,0.9,77.16560363769531,147.59111404418945,20.212888717651367
mps-uncap,1.0,160.13288497924805,3580.686569213867,66.78247451782227
mps-uncap,0.5,30.78150749206543,25.058269500732422,15.312433242797852
mps-uncap,0.6,31.21638298034668,26.901960372924805,12.871026992797852
mps-uncap,0.7,34.154415130615234,36.222219467163086,13.98468017578125
mps-uncap,0.1,25.011539459228516,30.316829681396484,7.468700408935547
mps-uncap,0.2,28.81455421447754,29.457569122314453,11.129379272460938
mps-uncap,0.3,30.140161514282227,32.439470291137695,13.782739639282227
mps-uncap,0.4,32.02557563781738,31.093597412109375,12.80069351196289
