mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,2.7976036071777344,2.760171890258789,0.9281635284423828
mps-uncap,0.9,2.808094024658203,2.7844905853271484,0.9491443634033203
mps-uncap,1.0,2.808094024658203,2.8045177459716797,0.9467601776123047
mps-uncap,0.5,2.798318862915039,2.814054489135742,0.9357929229736328
mps-uncap,0.6,2.827167510986328,2.7675628662109375,0.9388923645019531
mps-uncap,0.7,2.802610397338867,2.737760543823242,0.9486675262451172
mps-uncap,0.1,2.804994583129883,2.867460250854492,0.9276866912841797
mps-uncap,0.2,2.830982208251953,2.8257369995117188,0.9329319000244141
mps-uncap,0.3,2.7985572814941406,2.820253372192383,0.9632110595703125
mps-uncap,0.4,2.810955047607422,2.765655517578125,0.9334087371826172
