mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,6.556391716003418,5.95855712890625,2.196669578552246
mps-uncap,0.9,12.360811233520508,23.37360382080078,2.826690673828125
mps-uncap,1.0,18.46027374267578,1796.8549728393555,9.289026260375977
mps-uncap,0.5,5.376219749450684,4.750967025756836,2.519369125366211
mps-uncap,0.6,4.854559898376465,4.453182220458984,2.356290817260742
mps-uncap,0.7,4.9190521240234375,4.9228668212890625,2.0655393600463867
mps-uncap,0.1,7.232189178466797,7.351160049438477,2.5475025177001953
mps-uncap,0.2,7.456779479980469,7.427811622619629,2.6787519454956055
mps-uncap,0.3,7.07554817199707,6.613969802856445,2.749204635620117
mps-uncap,0.4,6.274938583374023,5.436182022094727,2.590775489807129
