mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,3.711104393005371,3.2265186309814453,1.5053749084472656
mps-uncap,0.9,3.9408206939697266,3.6275386810302734,1.428842544555664
mps-uncap,1.0,3.7980079650878906,3.7620067596435547,1.5759468078613281
mps-uncap,0.5,4.324436187744141,3.299713134765625,2.1855831146240234
mps-uncap,0.6,3.6468505859375,3.124237060546875,1.6875267028808594
mps-uncap,0.7,3.5288333892822266,3.2215118408203125,1.5909671783447266
mps-uncap,0.1,7.0476531982421875,7.06171989440918,2.460598945617676
mps-uncap,0.2,7.0133209228515625,6.901383399963379,2.504706382751465
mps-uncap,0.3,6.120920181274414,4.85682487487793,2.4520158767700195
mps-uncap,0.4,4.766225814819336,4.605531692504883,2.2780895233154297
