mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,28.922855854034424,31.000332832336422,11.672494411468508
mps-uncap,0.9,57.536826133728056,118.20512771606442,13.311710357666012
mps-uncap,1.0,110.80222129821773,3541.9980239868164,50.993461608886726
mps-uncap,0.5,20.053515434265147,16.024694442749023,8.888115882873548
mps-uncap,0.6,17.822122573852546,16.943416595458956,8.5153889656067
mps-uncap,0.7,18.92144441604613,20.296354293823242,8.434226512908934
mps-uncap,0.1,16.14515781402587,17.453589439392022,4.943742752075193
mps-uncap,0.2,20.103254318237294,21.606457233428944,6.571466922760009
mps-uncap,0.3,22.4104928970337,19.98773097991942,8.347797393798835
mps-uncap,0.4,20.729391574859623,19.244041442871097,8.739330768585203
