mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,12.971043586730957,11.76443099975586,4.001736640930185
mps-uncap,0.9,32.0878267288208,61.91000938415527,5.756187438964846
mps-uncap,1.0,50.62627792358399,3341.2734508514404,28.71656417846681
mps-uncap,0.5,7.320141792297367,5.755090713500977,3.2703876495361355
mps-uncap,0.6,6.709575653076172,5.980873107910157,3.2258272171020574
mps-uncap,0.7,7.559561729431153,7.737493515014648,3.072714805603028
mps-uncap,0.1,2.736568450927735,4.675865173339845,0.4920959472656248
mps-uncap,0.2,6.226587295532225,6.944441795349123,1.9899845123291016
mps-uncap,0.3,7.382321357727051,7.050180435180667,2.5005578994750994
mps-uncap,0.4,7.16853141784668,6.691741943359377,3.034019470214844
