mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,4.0302276611328125,3.5298824310302734,2.159333229064942
mps-uncap,0.9,4.059076309204102,4.0261268615722665,2.1867752075195312
mps-uncap,1.0,3.873586654663086,3.9060115814208984,2.4459362030029297
mps-uncap,0.5,5.227637290954591,4.813194274902344,2.432656288146973
mps-uncap,0.6,4.6825408935546875,3.915834426879883,2.2780895233154297
mps-uncap,0.7,3.8230419158935547,3.744173049926758,2.1044969558715825
mps-uncap,0.1,7.708168029785156,7.766008377075195,2.7303695678710938
mps-uncap,0.2,7.669687271118164,7.731413841247559,2.7709007263183594
mps-uncap,0.3,7.561087608337402,7.063436508178711,2.7618408203125
mps-uncap,0.4,6.702184677124023,5.549430847167969,2.5675535202026367
