mode,load,0_vgg11-8,1_vgg11-8
mig,0.1,0.011920928955078125,0.011205673217773438
mig,0.2,0.010967254638671875,0.010967254638671875
mig,0.3,0.01049041748046875,0.01049041748046875
mig,0.4,0.010728836059570312,0.0095367431640625
mig,0.5,0.009059906005859375,0.00858306884765625
mig,0.6,0.008106231689453125,0.00858306884765625
mig,0.7,0.007867813110351562,0.0095367431640625
mig,0.8,0.00858306884765625,0.010013580322265625
mig,0.9,0.00858306884765625,0.010967254638671875
mig,1.0,0.010728836059570312,0.011205673217773438
