mode,load,0_alexnet-16,1_inception_v3-2,2_vgg13-8
mps-uncap,0.8,4.011392593383789,21.15564346313477,5.8589935302734375
mps-uncap,0.9,4.344463348388672,23.60103130340576,6.103610992431641
mps-uncap,1.0,4.268717765808106,22.55263328552246,6.306672096252441
mps-uncap,0.5,3.4981489181518555,15.655684471130375,5.494070053100586
mps-uncap,0.6,3.744387626647949,15.868425369262695,5.642509460449219
mps-uncap,0.7,3.672456741333008,18.58048439025879,5.815887451171875
mps-uncap,0.1,1.6421794891357422,12.436246871948242,4.89192008972168
mps-uncap,0.2,2.703142166137697,12.608075141906738,5.1779985427856445
mps-uncap,0.3,3.2056570053100586,13.599538803100586,5.273079872131348
mps-uncap,0.4,3.3469676971435547,14.576339721679688,5.362272262573242
