mode,load,0_alexnet-16,1_inception_v3-2,2_vgg13-8
mps-uncap,0.8,3439.080790578685,74.90105348654788,1014.4776774294045
mps-uncap,0.9,3943.9104143002414,82.17158958768027,1157.2009449281393
mps-uncap,1.0,4388.073496031545,95.72656753883032,1290.6360047594267
mps-uncap,0.5,2192.154851433426,46.18427495348671,640.9106951680086
mps-uncap,0.6,2614.176695550481,57.7854517011196,760.3858125337575
mps-uncap,0.7,3014.9836930504794,66.0540423514874,903.7085839716817
mps-uncap,0.1,444.127454124628,9.284441535296823,132.18964822209233
mps-uncap,0.2,882.5079839802695,18.47031006966478,260.28502867852893
mps-uncap,0.3,1309.433541614902,26.181277716038085,390.47027466979813
mps-uncap,0.4,1756.9651941430109,37.02470921454335,512.7809107975738
