mode,load,0_alexnet-16,1_inception_v3-2,2_vgg13-8
mps-uncap,0.8,4.740476608276367,25.872468948364258,6.791830062866211
mps-uncap,0.9,5.056858062744141,26.59440040588379,7.372140884399414
mps-uncap,1.0,5.14674186706543,24.280786514282227,7.38072395324707
mps-uncap,0.5,4.189729690551758,21.054983139038086,6.370306015014648
mps-uncap,0.6,4.508018493652344,21.631956100463867,6.689310073852539
mps-uncap,0.7,4.433155059814453,24.303674697875977,6.633281707763672
mps-uncap,0.1,4.179477691650391,14.56594467163086,5.740880966186523
mps-uncap,0.2,4.246950149536133,15.92564582824707,6.093502044677734
mps-uncap,0.3,4.378318786621094,16.74509048461914,6.262779235839844
mps-uncap,0.4,4.186153411865234,20.48182487487793,6.623268127441406
