mode,load,0_alexnet-16,1_inception_v3-2,2_vgg13-8
mps-uncap,0.8,9.729862213134767,35.894083976745605,21.354460716247555
mps-uncap,0.9,28.196668624877937,89.08069133758546,42.22068786621095
mps-uncap,1.0,114.1164541244507,594.5048332214357,301.3695001602173
mps-uncap,0.5,4.436898231506348,21.027159690856937,10.497045516967773
mps-uncap,0.6,5.836367607116699,22.121191024780273,12.151885032653809
mps-uncap,0.7,6.713724136352537,26.940536499023438,17.56157875061036
mps-uncap,0.1,2.0646810531616215,12.546300888061523,5.278205871582031
mps-uncap,0.2,2.9369354248046906,13.482236862182619,6.233668327331541
mps-uncap,0.3,3.565669059753418,16.17090702056885,8.101391792297363
mps-uncap,0.4,3.795909881591797,19.137525558471676,9.076476097106934
