mode,load,0_alexnet-16,1_inception_v3-2,2_vgg13-8
mps-uncap,0.8,36.16976737976074,62.12019920349121,64.77713584899902
mps-uncap,0.9,102.26917266845703,192.8730010986328,110.23521423339844
mps-uncap,1.0,227.16140747070312,811.9552135467529,429.5320510864258
mps-uncap,0.5,12.35198974609375,31.59809112548828,26.39293670654297
mps-uncap,0.6,16.474246978759766,46.75102233886719,29.928922653198242
mps-uncap,0.7,20.90144157409668,81.58707618713379,57.07120895385742
mps-uncap,0.1,9.522438049316406,11.988639831542969,7.064580917358398
mps-uncap,0.2,5.957841873168945,18.406391143798828,9.28044319152832
mps-uncap,0.3,6.608724594116211,30.377864837646484,12.416601181030273
mps-uncap,0.4,10.968446731567383,35.74633598327637,23.051977157592773
