mode,load,0_alexnet-16,1_inception_v3-2,2_vgg13-8
mps-uncap,0.8,1.3942718505859375,4.855155944824219,4.428386688232422
mps-uncap,0.9,1.4426708221435547,4.82487678527832,4.4307708740234375
mps-uncap,1.0,1.4154911041259766,4.787445068359375,4.4460296630859375
mps-uncap,0.5,1.3988018035888672,4.911661148071289,4.431962966918945
mps-uncap,0.6,1.4410018920898438,4.9285888671875,4.416465759277344
mps-uncap,0.7,1.402139663696289,4.783153533935547,4.428386688232422
mps-uncap,0.1,1.4417171478271484,4.819154739379883,4.420042037963867
mps-uncap,0.2,1.4388561248779297,4.83250617980957,4.4078826904296875
mps-uncap,0.3,1.4293193817138672,4.94837760925293,4.413127899169922
mps-uncap,0.4,1.4030933380126953,4.883050918579102,4.424095153808594
