mode,load,0_alexnet-2,1_inception_v3-16,2_squeezenet1_1-4
mps-uncap,0.8,2.8641223907470703,18.95904541015625,5.2956342697143555
mps-uncap,0.9,22.79186248779297,34.93452072143555,15.720844268798828
mps-uncap,1.0,91.59612655639648,3444.7126388549805,2526.020288467407
mps-uncap,0.5,1.1684894561767578,11.660337448120117,2.7077198028564453
mps-uncap,0.6,1.239776611328125,13.283252716064453,3.0128955841064453
mps-uncap,0.7,1.596212387084961,17.087936401367188,3.700733184814453
mps-uncap,0.1,1.397848129272461,20.013809204101562,4.015922546386719
mps-uncap,0.2,1.378774642944336,16.30544662475586,3.9801597595214844
mps-uncap,0.3,1.3823509216308594,13.90373706817627,3.7987232208251953
mps-uncap,0.4,1.2810230255126953,11.622428894042969,3.1714439392089844
