mode,load,0_alexnet-2,1_inception_v3-16,2_squeezenet1_1-4
mps-uncap,0.8,25.249004364013672,132.09104537963867,42.39606857299805
mps-uncap,0.9,213.56916427612305,172.26648330688477,93.109130859375
mps-uncap,1.0,875.011682510376,6911.313772201538,5557.106494903564
mps-uncap,0.5,13.835906982421875,41.79644584655762,18.188953399658203
mps-uncap,0.6,11.424541473388672,63.272714614868164,20.090818405151367
mps-uncap,0.7,15.540122985839844,124.36389923095703,20.246267318725586
mps-uncap,0.1,4.05120849609375,33.55550765991211,9.509086608886719
mps-uncap,0.2,6.515026092529297,38.49434852600098,16.466856002807617
mps-uncap,0.3,7.848024368286133,46.094417572021484,19.670724868774414
mps-uncap,0.4,10.499000549316406,33.14852714538574,16.869783401489258
