mode,load,0_alexnet-2,1_inception_v3-16,2_squeezenet1_1-4
mps-uncap,0.8,16.03828668594361,82.82500267028811,27.89330005645752
mps-uncap,0.9,192.27292060852037,144.6692037582397,77.33186960220337
mps-uncap,1.0,825.6380724906921,6855.86588859558,5471.158378124237
mps-uncap,0.5,4.932181835174557,38.766860961914134,9.774136543273922
mps-uncap,0.6,5.511093139648437,48.681430816650305,12.771987915039054
mps-uncap,0.7,7.998597621917724,86.46368026733397,16.416964530944828
mps-uncap,0.1,2.9667377471923837,39.80988264083862,9.402685165405295
mps-uncap,0.2,3.6967039108276296,39.46666717529298,12.208819389343242
mps-uncap,0.3,4.56276893615723,36.5882587432861,13.252501487731937
mps-uncap,0.4,4.4505548477172825,35.05725622177121,10.735154151916536
