mode,load,0_alexnet-2,1_inception_v3-16,2_squeezenet1_1-4
mps-uncap,0.8,1590.0337260869792,1149.0245817827827,1453.4479468366458
mps-uncap,0.9,1758.2151184029153,1309.3159554859194,1645.8023417391582
mps-uncap,1.0,1923.0455841192052,1336.245851430681,1672.9381784880788
mps-uncap,0.5,992.1344736456496,714.1156533825209,903.8685957031886
mps-uncap,0.6,1200.961136593984,866.3561147610155,1139.0038762973875
mps-uncap,0.7,1397.6213027995693,1004.3923592336322,1269.7006750784833
mps-uncap,0.1,210.82678696777967,150.709779902861,187.30753605841537
mps-uncap,0.2,406.9707302554619,276.45381537830417,370.45195403224005
mps-uncap,0.3,616.7711348933134,416.1648515536674,559.741859966369
mps-uncap,0.4,800.4611419382327,573.5073375703618,754.9234792149377
