mode,load,0_alexnet-2,1_inception_v3-16,2_squeezenet1_1-4
mps-uncap,0.8,0.9465217590332031,10.28132438659668,2.0580291748046875
mps-uncap,0.9,0.9868144989013672,10.644674301147461,2.1681785583496094
mps-uncap,1.0,0.9243488311767578,11.926770210266113,2.189159393310547
mps-uncap,0.5,0.8790493011474609,9.64212417602539,1.989126205444336
mps-uncap,0.6,0.8611679077148438,9.899377822875977,1.9195079803466797
mps-uncap,0.7,0.8769035339355469,10.46609878540039,1.9893646240234375
mps-uncap,0.1,1.3535022735595703,19.707322120666504,3.9412975311279297
mps-uncap,0.2,1.3191699981689453,15.629053115844727,3.862619400024414
mps-uncap,0.3,1.2843608856201172,11.197090148925781,3.118753433227539
mps-uncap,0.4,1.0685920715332031,10.160326957702637,2.3374557495117188
