mode,load,0_efficientnet_b6-16,1_inception_v3-8,2_resnet18-32
mps-uncap,0.8,303.32398862657766,291.0149693283663,3431.99787852135
mps-uncap,0.9,352.60767081406516,318.738030585681,3831.880539823862
mps-uncap,1.0,399.9066784933371,362.0884853107276,4246.570951535624
mps-uncap,0.5,193.68384965091073,181.43914481489043,2144.199414668303
mps-uncap,0.6,224.75117506437573,218.11510889797424,2562.3168336180947
mps-uncap,0.7,287.93402835453935,249.50376827186338,2975.7496167919603
mps-uncap,0.1,35.5075597017292,33.24601477843703,427.7187809581375
mps-uncap,0.2,79.80736169310457,74.00984025579446,859.4039591436363
mps-uncap,0.3,121.59298476570562,109.91458681073571,1236.0392007665869
mps-uncap,0.4,172.82059495517422,133.14554898180754,1728.2080900045034
