mode,load,0_densenet161-4,1_mobilenet_v2-16,2_vgg11-2
mps-uncap,0.8,128.9075209567981,2182.068422991742,565.187962418558
mps-uncap,0.9,146.77978646032273,2481.5910443718144,640.3823283516789
mps-uncap,1.0,172.064378478412,2775.403178785958,701.8027478443389
mps-uncap,0.5,86.73134737814678,1381.8437805251585,358.6693110666438
mps-uncap,0.6,102.07129173215982,1642.606610864623,426.1164828313811
mps-uncap,0.7,116.47239131821195,1930.7434090609024,500.9258603792688
mps-uncap,0.1,15.88234811802159,277.52921334447007,72.01881299594004
mps-uncap,0.2,34.41804589715578,550.0325977525899,143.5468933624632
mps-uncap,0.3,49.930432046358,839.2783813573722,216.8784180924612
mps-uncap,0.4,67.48229383198556,1130.6983903029468,291.1576193885785
