mode,load,0_densenet161-4,1_mobilenet_v2-16,2_vgg11-2
mps-uncap,0.8,25.903396606445312,5.874266624450684,3.453829288482666
mps-uncap,0.9,26.926336288452145,6.064248085021972,3.5608386993408216
mps-uncap,1.0,27.554388046264663,6.210162639617919,3.667116165161133
mps-uncap,0.5,23.504552841186513,6.408720016479492,3.275880813598633
mps-uncap,0.6,23.059263229370117,6.075310707092285,3.351280689239498
mps-uncap,0.7,24.855003356933594,5.848660469055173,3.4014534950256348
mps-uncap,0.1,24.747409820556637,6.500053405761718,2.7336597442626958
mps-uncap,0.2,24.437215328216553,6.587820053100586,2.9520797729492174
mps-uncap,0.3,24.28575992584229,6.431841850280763,3.09209108352661
mps-uncap,0.4,23.472824096679688,6.47130012512207,3.1570625305175777
