mode,load,0_densenet161-4,1_mobilenet_v2-16,2_vgg11-2
mps-uncap,0.8,22.16935157775879,5.951642990112305,2.8606653213500977
mps-uncap,0.9,36.42702102661133,9.363651275634766,4.226803779602051
mps-uncap,1.0,701.6377449035645,23.288249969482422,10.741710662841797
mps-uncap,0.5,17.024517059326172,5.701541900634766,1.9350051879882812
mps-uncap,0.6,16.711115837097168,5.496978759765625,2.154827117919922
mps-uncap,0.7,18.18108558654785,5.401611328125,2.533435821533203
mps-uncap,0.1,23.042678833007812,5.843639373779297,1.6841888427734375
mps-uncap,0.2,18.35179328918457,5.634307861328125,1.687765121459961
mps-uncap,0.3,17.749547958374023,5.640268325805664,1.7029047012329102
mps-uncap,0.4,17.303466796875,5.720615386962891,1.7917156219482422
