mode,load,0_vgg16-2,1_vgg16-2,2_vgg16-2,3_vgg16-2
mig,0.1,6.401419639587402,6.430387496948242,6.433844566345215,13.045430183410645
mig,0.2,6.341218948364258,6.403684616088867,6.406545639038086,13.023853302001953
mig,0.3,6.340265274047852,6.390094757080078,6.395578384399414,13.010621070861816
mig,0.4,6.338715553283691,6.385326385498047,6.386756896972656,12.993097305297852
mig,0.5,6.376504898071289,6.376028060913086,6.386876106262207,13.028979301452637
mig,0.6,7.852435111999512,7.619380950927734,8.09335708618164,16.459107398986816
mig,0.7,10.021686553955078,10.271310806274414,9.866952896118164,20.10631561279297
mig,0.8,12.14146614074707,12.815237045288086,12.329816818237305,27.07386016845703
mig,0.9,21.896719932556152,24.9483585357666,20.243048667907715,43.73788833618164
mig,1.0,90.03472328186035,91.40539169311523,64.06784057617188,497.13802337646484
