mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,30.341529846191406,27.777433395385742,20.06359100341797
mig,1.0,42.879414558410645,20.95351219177246,17.334365844726562
