mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,27.76503562927246,21.29220962524414,14.228343963623047
mig,1.0,42.19388961791992,20.346641540527344,16.821861267089844
