mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,0.003814697265625,0.01621246337890625,0.000476837158203125
mig,1.0,0.00286102294921875,0.0059604644775390625,0.003814697265625
