mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,540.0495693754543,75.42718180194042,888.7569763366819
mig,1.0,376.01743787859994,96.5594404653157,936.0336053489117
