mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,42.77396202087402,36.31186485290527,33.20169448852539
mig,1.0,50.74739456176758,25.865554809570312,29.9222469329834
