mode,load,0_efficientnet_b6-16,1_densenet201-2,2_inception_v3-16
mps-uncap,1.0,42.77396202087402,36.312103271484375,33.20193290710449
mig,1.0,50.74739456176758,25.865554809570312,29.9224853515625
